   2.5000000000000000       0.11890055338541665        9.8138396052208348E-004	   2.2000000000000002        5.6123114691840274E-002   7.6214242604062644E-004	   2.0000000000000000       -6.9714694552951394E-003   3.1050466209614128E-004	   1.7000000000000000      -0.17098203870985254        3.0868164486014753E-004
   2.3799999999999999        9.6563313802083342E-002   7.8710192134158420E-004	   2.1150000000000002        3.1549411349826376E-002   7.4712849362772301E-004	   1.9500000000000000       -2.6754794650607656E-002   4.6250429560015967E-004	   1.6775000000000000      -0.18981863233778209        1.9057270236615161E-004
   2.2599999999999998        6.8770345052083348E-002   1.1603760723591960E-003	   2.0300000000000002        3.1514485677083320E-003   7.4284164582809006E-004	   1.8999999999999999       -4.9477878146701376E-002   3.3454487970513907E-004	   1.6550000000000000      -0.21107351938883478        2.4194825531270427E-004
   2.1400000000000001        3.4121365017361113E-002   1.9897275037435679E-003	   1.9450000000000003       -2.8584798177083329E-002   6.9672219353110584E-004	   1.8500000000000001       -7.3068101671006927E-002   3.9757620540263920E-004	   1.6325000000000001      -0.23387686411539707        2.1855551209653529E-004
   2.0200000000000000       -6.1507161458333286E-003   1.7585305792515668E-003	   1.8600000000000001       -6.8956773546006975E-002   6.6467454862924368E-004	   1.8000000000000000      -0.10162150065104170        5.4451460054306792E-004	   1.6099999999999999      -0.25894846174452041        3.1887672318052604E-004
   1.8999999999999999       -6.5518391927083364E-002   1.4506131263367220E-003	   1.7750000000000001      -0.11868313259548616        1.1165918742816836E-003	   1.7500000000000000      -0.13332912868923613        4.6510724574310954E-004	   1.5874999999999999      -0.28648697323269301        2.3783556207335584E-004
   1.7800000000000000      -0.15078613281250006        3.0289888782239517E-003	   1.6900000000000002      -0.18532552083333323        1.0378157021568406E-003	   1.7000000000000000      -0.17152738783094618        4.0198343677103179E-004	   1.5649999999999999      -0.31894169277615009        3.1509923537961277E-004
   1.6599999999999999      -0.27754286024305558        2.9260583908831198E-003	   1.6050000000000000      -0.28760884602864589        1.0354484193473967E-003	   1.6499999999999999      -0.21633858574761292        4.3530951296870380E-004	   1.5425000000000000      -0.35569644504123260        3.1150990323758977E-004
   1.5400000000000000      -0.46281412760416674        2.9339966112932173E-003	   1.5200000000000000      -0.44869011773003492        1.4273213519300301E-003	   1.6000000000000001      -0.27240078396267359        5.2888534814743676E-004	   1.5200000000000000      -0.40252124786376958        3.8403881282624041E-004
   1.4200000000000002      -0.66211941189236090        1.9634370512069763E-003	   1.4350000000000001      -0.63067362467447896        1.2247959693370322E-003	   1.5500000000000000      -0.35135097927517361        7.2663242137926466E-004	   1.4975000000000001      -0.46711165534125437        6.5435520407601793E-004
   1.3000000000000000      -0.82983588324652768        2.0062760882666409E-003	   1.3500000000000001      -0.76490370008680597        8.7136716114552765E-004	   1.5000000000000000      -0.47223236083984366        1.0336751986926942E-003	   1.4749999999999999      -0.53561810811360677        4.1245080373192777E-004
   1.1800000000000002      -0.95525309244791656        1.9669841270168534E-003	   1.2650000000000001      -0.87047702365451396        7.7386321075143970E-004	   1.4500000000000000      -0.59724038018120629        9.4905519573374526E-004	   1.4524999999999999      -0.59191567314995652        3.7676337863631925E-004
   1.0600000000000001       -1.0510202365451387        1.6865290585697929E-003	   1.1800000000000002      -0.95443067762586820        6.6185863133298749E-004	   1.3999999999999999      -0.69034271240234335        3.6993944343243179E-004	   1.4299999999999999      -0.63833359612358931        2.9484753445672404E-004
  0.93999999999999995       -1.1236306423611111        7.9312200329100435E-004	   1.0950000000000002       -1.0244906955295139        4.8636114033132142E-004	   1.3500000000000001      -0.76640936957465278        4.1122648966038905E-004	   1.4075000000000000      -0.67852038913302937        2.6191764149845529E-004
  0.81999999999999984       -1.1784719509548605        5.2012220406822654E-004	   1.0100000000000000       -1.0831776258680557        6.0413670164421865E-004	   1.3000000000000000      -0.83004464043511272        4.5309609375566279E-004	   1.3850000000000000      -0.71515081617567267        2.6124056287180731E-004
  0.69999999999999996       -1.2154603407118048        2.8616811152496889E-004	  0.92500000000000004       -1.1316771782769104        2.1242262982641461E-004	   1.2500000000000000      -0.88690273708767375        5.2554218781464431E-004	   1.3625000000000000      -0.74831879933675161        2.1363979229677623E-004
  0.58000000000000007       -1.2370185004340288        3.5385809166555126E-004	  0.84000000000000008       -1.1700316026475694        3.1258890024467583E-004	   1.2000000000000000      -0.93612384372287305        3.1823679503594480E-004	   1.3399999999999999      -0.77965928395589179        2.5880918747188836E-004
  0.45999999999999996       -1.2472583007812490        1.4021583969098573E-004	  0.75500000000000012       -1.2008108181423616        2.7239365341019759E-004	   1.1499999999999999      -0.98069878472222227        3.4750753177932391E-004	   1.3174999999999999      -0.80890767415364584        2.6195332764376584E-004
  0.34000000000000030       -1.2497954644097222        2.9080063548740634E-005	  0.67000000000000015       -1.2221984863281250        1.9065113883100722E-004	   1.1000000000000001       -1.0208097500271263        2.3348238816327748E-004	   1.2949999999999999      -0.83607486724853508        2.6933450380666661E-004
  0.21999999999999975       -1.2500000000000000        0.0000000000000000     	  0.58499999999999996       -1.2367285156249999        1.7925973791798518E-004	   1.0500000000000000       -1.0573047553168400        2.0163162589596271E-004	   1.2725000000000000      -0.86187714046902164        2.1165155786919646E-004
