   1.0000000000000000       0.24718858506944452        2.1423578979606612E-003	   1.0000000000000000       0.12571343315972225        5.7545506470234320E-004	   1.0000000000000000        6.1606513129340283E-002   3.4841173831174737E-004	  0.80000000000000004        4.5695275200737823E-002   3.6656476563392057E-004
  0.95499999999999996       0.25981987847222221        1.3830692739822507E-003	  0.95499999999999996       0.13225124782986108        8.2078986219684933E-004	  0.95499999999999996        6.6040988498263870E-002   4.7280374305910165E-004	  0.77000000000000002        5.0976172553168421E-002   4.5948783484316532E-004
  0.91000000000000003       0.27763671875000001        1.5464027623631092E-003	  0.91000000000000003       0.14247422960069450        1.1500179417347693E-003	  0.91000000000000003        7.1285129123263888E-002   5.0244428403732784E-004	  0.73999999999999999        5.8681352403428831E-002   5.5061912684497291E-004
  0.86499999999999999       0.30099500868055562        1.3994046592240392E-003	  0.86499999999999999       0.15517415364583328        1.1067882361944651E-003	  0.86499999999999999        7.7573174370659734E-002   4.2101804006714627E-004	  0.71000000000000008        7.3764597574869792E-002   4.3544029855234679E-004
  0.82000000000000006       0.32780056423611109        3.1183730135864048E-003	  0.82000000000000006       0.17433919270833337        2.1001153526641909E-003	  0.82000000000000006        8.5376925998263922E-002   6.7388580597751340E-004	  0.68000000000000005       0.12417468600802950        9.9594117115956566E-004
  0.77500000000000002       0.36856336805555545        2.6266993123610196E-003	  0.77500000000000002       0.19632405598958333        2.1370054237177783E-003	  0.77500000000000002        9.8717583550347154E-002   9.5734094821435956E-004	  0.65000000000000002       0.65419420030381947        2.0936407003175894E-003
  0.72999999999999998       0.42637152777777776        2.8371822391216319E-003	  0.72999999999999998       0.24942084418402774        2.2131465318175995E-003	  0.72999999999999998       0.12566935221354170        1.0707452418364837E-003	  0.62000000000000000       0.83941552056206592        1.8048133605266280E-004
  0.68500000000000005       0.53306206597222228        2.5786934375228395E-003	  0.68500000000000005       0.37649685329861093        2.0063957614934284E-003	  0.68500000000000005       0.21505093044704859        1.8214053942692038E-003	  0.58999999999999997       0.89853983561197914        1.7023248911473169E-004
  0.64000000000000001       0.67527886284722205        3.9440132964121870E-003	  0.64000000000000001       0.70314670138888868        4.0822125370455296E-003	  0.64000000000000001       0.74981024848090272        2.1888674406748401E-003	  0.56000000000000005       0.93157613118489579        8.7677315657261310E-005
  0.59499999999999997       0.81705295138888878        3.0088894654452980E-003	  0.59499999999999997       0.89016330295138879        6.5012232543240037E-004	  0.59499999999999997       0.89096442328559011        4.6987663821269806E-004	  0.53000000000000003       0.95297595553927938        6.6416451177193461E-005
  0.55000000000000004       0.91144205729166627        2.5591197252616926E-003	  0.55000000000000004       0.93974717881944470        4.0673052947407640E-004	  0.55000000000000004       0.93971069335937529        1.3046373078165805E-004	  0.50000000000000000       0.96738942464192723        3.4683405470379711E-005
  0.50500000000000000       0.95934461805555549        1.9307570542684673E-003	  0.50500000000000000       0.96543050130208341        2.1954591654080964E-004	  0.50500000000000000       0.96535868326822960        6.0742535591153387E-005	  0.46999999999999997       0.97766808403862848        2.8267562712699363E-005
  0.45999999999999996       0.98039605034722221        2.2833859290052438E-004	  0.45999999999999996       0.98026991102430572        2.2858894470874027E-004	  0.45999999999999996       0.98037685818142384        5.0357792397280786E-005	  0.44000000000000000       0.98501783582899316        3.1153949332463502E-005
  0.41499999999999992       0.98852322048611152        9.7769574004185180E-004	  0.41499999999999992       0.25590684678819453       0.24355117347116892     	  0.41499999999999992       0.85914259168836815       0.13039571225186486     	  0.41000000000000003       0.84725041707356785       0.14298802750503056     
  0.37000000000000000       0.97511501736111106        1.9745302481580827E-002	  0.37000000000000000        7.2100151909722252E-003   7.6982864738596663E-005	  0.37000000000000000        3.8943820529513881E-003   3.4055264718047862E-005	  0.37999999999999995        2.2225613064236118E-003   1.0876695069577758E-005
  0.32499999999999996        9.5492621527777780E-002   9.0073329034544153E-002	  0.32499999999999996        3.9442274305555546E-003   3.2217225666046383E-005	  0.32499999999999996        2.2427707248263884E-003   1.2983035170222147E-005	  0.34999999999999998        1.5602959526909721E-003   1.9300167168164407E-005
  0.28000000000000003        2.1104600694444439E-003   4.8690143445447642E-005	  0.28000000000000003        1.7819552951388886E-003   3.0434779492184399E-005	  0.28000000000000003        1.1560058593749992E-003   8.3349444162424960E-006	  0.31999999999999995        1.0672336154513892E-003   7.6899133691203934E-006
  0.23499999999999999        5.1974826388888817E-004   3.0107282655753294E-005	  0.23499999999999999        5.1323784722222233E-004   1.2804884142718482E-005	  0.23499999999999999        4.3029785156249993E-004   8.1859168169522436E-006	  0.29000000000000004        7.1782430013020838E-004   7.7604798444685505E-006
  0.19000000000000006        7.2699652777777812E-005   9.7742328685729083E-006	  0.19000000000000006        7.5141059027777692E-005   6.9672246220687627E-006	  0.19000000000000006        6.9037543402777768E-005   2.0864013757208882E-006	  0.26000000000000001        4.4893052842881947E-004   4.2497238066684186E-006
  0.14499999999999991        3.2552083333333335E-006   2.3559468244002152E-006	  0.14499999999999991        3.2552083333333331E-006   9.1991237835357906E-007	  0.14499999999999991        3.2552083333333357E-006   4.8836197766030261E-007	  0.22999999999999998        2.5136311848958332E-004   1.9466629106381253E-006
