   1.0000000000000000       0.43248909505208338        1.0295806681081179E-003	   1.0000000000000000       0.43931863064236193        3.6976454078343899E-004	   1.0000000000000000       0.43949142795138590        1.5807180562413343E-004	  0.80000000000000004       0.35482074652778817        1.0742427772041423E-004
  0.95499999999999996       0.41410747612847210        8.3162482077097776E-004	  0.95499999999999996       0.42143916829427130        6.2625099031585001E-004	  0.95499999999999996       0.42220960828992754        1.9766221927132831E-004	  0.77000000000000002       0.33955525207520526        1.0413912741430502E-004
  0.91000000000000003       0.39428564453125009        6.3909559242598946E-004	  0.91000000000000003       0.40399169921875078        5.3643751646971765E-004	  0.91000000000000003       0.40392264133029243        1.8688835954880321E-004	  0.73999999999999999       0.32307303873698867        9.5573936196372475E-005
  0.86499999999999999       0.37372894965277753        9.3896312850666648E-004	  0.86499999999999999       0.38411101616753551        2.9439774936199732E-004	  0.86499999999999999       0.38504439968532700        1.6865626745742447E-004	  0.71000000000000008       0.30459195200603112        9.4546303023628175E-005
  0.82000000000000006       0.34955251736111098        7.7942017317021478E-004	  0.82000000000000006       0.36301373969184075        3.9546078395546786E-004	  0.82000000000000006       0.36430506727430317        1.8997176180606383E-004	  0.68000000000000005       0.28122459920248283        1.1726205952403760E-004
  0.77500000000000002       0.32089165581597207        5.5291455417487000E-004	  0.77500000000000002       0.33983894856770880        3.6768623819890325E-004	  0.77500000000000002       0.34209776136609987        1.7089464638673482E-004	  0.65000000000000002       0.19298163011339689        2.6255429776211962E-004
  0.72999999999999998       0.28597536892361108        7.0644785615002535E-004	  0.72999999999999998       0.31191714138454935        4.4364290444058227E-004	  0.72999999999999998       0.31715354749891261        1.8575326455455381E-004	  0.62000000000000000       0.12135000440808925        1.5455800138022339E-004
  0.68500000000000005       0.23589203559027777        1.1099229811390131E-003	  0.68500000000000005       0.26622230360243110        9.0723916578211797E-004	  0.68500000000000005       0.28266217041015407        3.4271755983536993E-004	  0.59000000000000008        7.8301014370383157E-002   9.5054838588153726E-005
  0.64000000000000001       0.16820713975694437        1.4568645919134397E-003	  0.64000000000000001       0.16978152126736124        7.7780833309787399E-004	  0.64000000000000001       0.16373676554361913        4.3027084758403818E-004	  0.56000000000000005        4.6751006232365520E-002   8.3797386340204481E-005
  0.59499999999999997        9.5277994791666709E-002   7.5739240175083926E-004	  0.59499999999999997        8.5219794379340116E-002   5.9076919350085856E-004	  0.59499999999999997        8.4450283474393692E-002   1.4398198608567763E-004	  0.53000000000000003        2.2229298909506517E-002   5.9982724168551421E-005
  0.55000000000000004        4.3321831597222291E-002   9.7894655784340999E-004	  0.55000000000000004        3.7989461263020718E-002   3.7256600535147416E-004	  0.55000000000000004        3.7806304931640902E-002   1.6408670029897132E-004	  0.50000000000000000        3.1594153510199068E-003   5.4721523747099842E-005
  0.50500000000000012        6.6225043402778818E-003   7.6351757593979338E-004	  0.50500000000000012        6.4223225911458799E-003   2.4365791449016514E-004	  0.50500000000000012        6.0492451985675695E-003   9.9076644670594669E-005	  0.47000000000000003       -1.1775816175672032E-002   5.1575150471524577E-005
  0.45999999999999996       -1.5656032986110988E-002   3.6652547077872517E-004	  0.45999999999999996       -1.5862833658854134E-002   1.6095706331649756E-004	  0.45999999999999996       -1.6046010335286763E-002   7.3024768362832450E-005	  0.44000000000000000       -2.3371749877927988E-002   3.9417691525898853E-005
  0.41500000000000004       -3.0685872395833189E-002   2.7685365840493444E-004	  0.41500000000000004       -3.0751803927951460E-002   1.9650392737717646E-004	  0.41500000000000004       -3.0816507975260581E-002   9.0380166663263294E-005	  0.40999999999999998       -3.2057428995767037E-002   3.0324540867239582E-005
  0.37000000000000011       -4.0310763888888733E-002   2.2815533423471915E-004	  0.37000000000000011       -4.0154730902777963E-002   9.9690457490421078E-005	  0.37000000000000011       -4.0250406901041307E-002   4.8228803494363247E-005	  0.38000000000000000       -3.8539863586426450E-002   1.6823617562282232E-005
  0.32500000000000007       -4.5754014756944288E-002   1.4237477031125732E-004	  0.32500000000000007       -4.5782660590278051E-002   5.9639786565238380E-005	  0.32500000000000007       -4.5751149495442019E-002   3.4015071821007216E-005	  0.35000000000000003       -4.3123189290366362E-002   1.8195314328668330E-005
  0.28000000000000003       -4.8533040364583162E-002   7.0001625137110761E-005	  0.28000000000000003       -4.8519015842014249E-002   4.4405330849771603E-005	  0.28000000000000003       -4.8549526638454008E-002   1.8251553614127223E-005	  0.32000000000000001       -4.6183563232424292E-002   1.3622406933955883E-005
  0.23499999999999999       -4.9630588107638665E-002   3.6487769298433128E-005	  0.23499999999999999       -4.9637586805555953E-002   1.8543222515277212E-005	  0.23499999999999999       -4.9650261773002531E-002   9.5340441575017710E-006	  0.28999999999999992       -4.8088205973310080E-002   7.3893168294191454E-006
  0.18999999999999995       -4.9959960937499805E-002   9.8764738495911228E-006	  0.18999999999999995       -4.9958007812500468E-002   7.6631949237939003E-006	  0.18999999999999995       -4.9955159505207354E-002   2.8855311312251787E-006	  0.26000000000000001       -4.9190864562991231E-002   5.4294009208498358E-006
  0.14499999999999991       -4.9999999999999822E-002   0.0000000000000000     	  0.14499999999999991       -4.9999443901910197E-002   5.5609809028259181E-007	  0.14499999999999991       -4.9998609754773264E-002   4.1449104400058739E-007	  0.22999999999999998       -4.9714580112036472E-002   3.2761408139661893E-006
