   1.0000000000000000       0.24793728298611103        1.4403435309997990E-003	   1.0000000000000000       0.12420464409722223        9.1734886747518523E-004	   1.0000000000000000        6.2065565321180571E-002   3.0987460526444823E-004	  0.80000000000000004        4.5480584038628501E-002   3.5175643652917918E-004
  0.95499999999999996       0.26109700520833340        1.7131293330713041E-003	  0.95499999999999996       0.13343831380208332        1.0690075674587368E-003	  0.95499999999999996        6.6065809461805541E-002   5.6721755475757512E-004	  0.77000000000000002        5.1051093207465273E-002   3.5711844440013628E-004
  0.91000000000000003       0.27924804687499988        1.2212482707632079E-003	  0.91000000000000003       0.14338867187499998        9.5115535929757213E-004	  0.91000000000000003        7.1561008029513873E-002   4.2378909350575852E-004	  0.73999999999999999        5.9115736219618076E-002   4.7890698758136377E-004
  0.86499999999999999       0.29701171875000015        2.4043486255664634E-003	  0.86499999999999999       0.15772813585069445        9.9050501237043739E-004	  0.86499999999999999        7.7759060329861102E-002   6.3776227324791838E-004	  0.71000000000000008        7.4430592854817665E-002   5.1166070212095322E-004
  0.82000000000000006       0.32934895833333361        2.3571191754963600E-003	  0.82000000000000006       0.17033175998263889        1.5970504210705014E-003	  0.82000000000000006        8.6391872829861119E-002   7.6021478162024449E-004	  0.68000000000000005       0.12494466145833326        1.3098667980859912E-003
  0.77500000000000002       0.36920681423611135        2.4802403100539685E-003	  0.77500000000000002       0.19743489583333323        1.1497770015794872E-003	  0.77500000000000002       0.10020935058593748        8.8918727507251787E-004	  0.65000000000000002       0.65851613362630212        1.4850855456772598E-003
  0.72999999999999998       0.42868706597222239        2.9563975002578442E-003	  0.72999999999999998       0.24658935546874988        2.2757061061293975E-003	  0.72999999999999998       0.12430887858072914        9.5924322809960152E-004	  0.62000000000000000       0.83922068277994843        2.3448232347482071E-004
  0.68500000000000005       0.52580729166666673        4.0717711265464626E-003	  0.68500000000000005       0.38135904947916660        5.2147767970205927E-003	  0.68500000000000005       0.21583441840277770        2.2069920268908373E-003	  0.59000000000000008       0.89886113484700580        1.3815706264035151E-004
  0.64000000000000001       0.67037109374999992        5.0320663755119305E-003	  0.64000000000000001       0.70609483506944448        2.8151959585548487E-003	  0.64000000000000001       0.74862935384114593        2.1992469023367073E-003	  0.56000000000000005       0.93174589369032113        9.8069182830162426E-005
  0.59499999999999997       0.82084201388888878        3.1205145063356462E-003	  0.59499999999999997       0.88992757161458347        9.8185177323338374E-004	  0.59499999999999997       0.89164537217881956        2.3289359479799771E-004	  0.53000000000000003       0.95294569227430548        5.7299243915564899E-005
