   2.5000000000000000       0.30949680989583322        5.2354444849504788E-003	   2.5000000000000000       0.30115520073784696        8.5127329266125266E-003	   2.2000000000000002       0.49039555080519992        5.8123020895387290E-003	   1.8999999999999999        1.0390316661546308        1.5207439272455924E-002
   2.4249999999999998       0.35223078930043356        5.1168690356462373E-003	   2.4249999999999998       0.32918322198099831        3.4143748651865678E-003	   2.1650000000000000       0.52787009007518282        6.0652881230168799E-003	   1.8850000000000000        1.0697071448253570        1.1335002683691184E-002
   2.3500000000000001       0.41004320433139663        7.6715191890350809E-003	   2.3500000000000001       0.37400529897682883        4.8519710926354601E-003	   2.1300000000000003       0.55746518329748196        6.6518234359927708E-003	   1.8699999999999999        1.1225812914579061        1.4052991092487624E-002
   2.2749999999999999       0.47527012171157074        9.9278907309305730E-003	   2.2749999999999999       0.42432852401623855        4.3576242930879376E-003	   2.0950000000000002       0.61193889205223395        8.4705722193814271E-003	   1.8550000000000000        1.2029198676774284        1.6067890116928486E-002
   2.2000000000000002       0.57301491888283862        1.1585589669751614E-002	   2.2000000000000002       0.50643587792580103        9.2917433903343342E-003	   2.0600000000000001       0.65862281864758465        1.1291139971868459E-002	   1.8399999999999999        1.2665994459195793        2.4850027276458627E-002
   2.1250000000000000       0.70115820437652154        1.0536864624331040E-002	   2.1250000000000000       0.58168581645280681        8.6819404298764877E-003	   2.0250000000000004       0.72455978928891862        7.9383631084830996E-003	   1.8250000000000000        1.3304441951879775        2.1724919775031128E-002
   2.0499999999999998       0.89016045343380246        1.3874951585273377E-002	   2.0499999999999998       0.70019252182962632        1.2120670093334576E-002	   1.9900000000000002       0.78366391985966943        7.7944513020571128E-003	   1.8100000000000001        1.4459607674229327        1.5877360033246961E-002
   1.9750000000000001        1.1086244632085014        1.4980836816678594E-002	   1.9750000000000001       0.87703642492875011        1.6330333585509033E-002	   1.9550000000000001       0.86714187555210154        1.1343457116751297E-002	   1.7949999999999999        1.5459729044047994        1.6627861024070940E-002
   1.8999999999999999        1.4010981794478425        1.7519806649092390E-002	   1.8999999999999999        1.1415595717903182        8.6537921028312995E-003	   1.9200000000000002       0.97481057599738752        1.7648241752491137E-002	   1.7800000000000000        1.6438728586461635        2.1499315241471636E-002
   1.8250000000000000        1.6788195829032968        2.3119342978053226E-002	   1.8250000000000000        1.6751656429399235        2.3216971130876219E-002	   1.8850000000000002        1.0688418823224974        1.6326011107791669E-002	   1.7649999999999999        1.8362440054885221        2.7065934708360734E-002
   1.7500000000000000        1.8508051333380582        1.6789402815415532E-002	   1.7500000000000000        2.3522952400144090        3.1128179208910131E-002	   1.8500000000000001        1.2371974505319845        1.9649008737212231E-002	   1.7500000000000000        2.0790776091768195        2.4221238729464332E-002
   1.6750000000000000        1.8209952517676953        2.3223449176846506E-002	   1.6750000000000000        2.3118843610706286        2.8348416547684656E-002	   1.8149999999999999        1.4940708462582504        3.4496296139264845E-002	   1.7350000000000001        2.3693363485459775        4.3035066122777660E-002
   1.6000000000000001        1.6107109211109298        2.1187627846003414E-002	   1.6000000000000001        1.7762378692626937        1.9542500982089889E-002	   1.7800000000000000        1.8694746307508756        3.5332795934847859E-002	   1.7200000000000000        2.9593109048678361        4.5213184948976769E-002
   1.5249999999999999        1.3326197244804268        2.1324139579095781E-002	   1.5249999999999999        1.3488908778426671        2.3229543128721952E-002	   1.7450000000000001        2.5474889055886072        3.1512347174507516E-002	   1.7050000000000001        3.3266297911437670        4.8781843418701419E-002
   1.4500000000000000        1.1090615770673689        1.1389299822778674E-002	   1.4500000000000000        1.0828959208958151        2.2863385340529722E-002	   1.7100000000000000        2.9553604640557447        4.9796840294817402E-002	   1.6899999999999999        3.2647284561457206        6.5271244640606699E-002
   1.3750000000000000       0.95157374885215762        1.9918080018129877E-002	   1.3750000000000000       0.94825580258073150        1.5105597929175154E-002	   1.6750000000000000        2.6660689063653731        4.2226930759027476E-002	   1.6750000000000000        2.8752512148374674        7.1301456073162073E-002
   1.3000000000000000       0.79502361898696117        1.2551598407652131E-002	   1.3000000000000000       0.77431886076483891        7.1104426200255932E-003	   1.6400000000000001        2.1193170867919142        2.6293952133207725E-002	   1.6600000000000001        2.4298157532525178        4.1352913676982718E-002
   1.2250000000000001       0.65519312458543533        8.0929074465874874E-003	   1.2250000000000001       0.66289697603814435        1.3394110222602409E-002	   1.6050000000000000        1.7807133079735762        2.0028265209163100E-002	   1.6450000000000000        2.2350020908499406        3.6172115594082198E-002
   1.1499999999999999       0.55779821701279442        6.3749518377881377E-003	   1.1499999999999999       0.54810504791808734        7.1942439528828910E-003	   1.5700000000000001        1.5588640892094019        1.5364504983678655E-002	   1.6300000000000001        2.0357494505349654        3.0755886447658639E-002
   1.0750000000000000       0.46337550452697140        7.1781101918587465E-003	   1.0750000000000000       0.46219519075000154        6.6798374381111464E-003	   1.5349999999999999        1.4157343997904976        2.3104155335073880E-002	   1.6150000000000002        1.8601001485309439        2.1025037974877418E-002
